date,company,ticker,price,currency
2026-08-25,Tuopu,601689.SS,46.8,CNY
2026-08-26,AUMOVIO,AMV0.F,35.65,EUR
2026-08-26,BTL,603596.SS,25.66,CNY
2026-08-26,Baolong,603197.SS,30.35,CNY
2026-08-26,HASCO,600741.SS,15.42,CNY
2026-08-26,Luxshare,002475.SZ,57.11,CNY
2026-08-26,Tuopu,601689.SS,46.6,CNY
2026-08-27,AUMOVIO,AMV0.F,34.7,EUR
2026-08-27,BTL,603596.SS,25.9,CNY
2026-08-27,Baolong,603197.SS,30.43,CNY
2026-08-27,HASCO,600741.SS,15.32,CNY
2026-08-27,Luxshare,002475.SZ,57.18,CNY
2026-08-27,Tuopu,601689.SS,47.43,CNY
2026-08-28,AUMOVIO,AMV0.F,35.35,EUR
2026-08-28,BTL,603596.SS,28.0,CNY
2026-08-28,Baolong,603197.SS,29.96,CNY
2026-08-28,HASCO,600741.SS,15.39,CNY
2026-08-28,Luxshare,002475.SZ,56.6,CNY
2026-08-28,Tuopu,601689.SS,47.09,CNY
2026-08-31,AUMOVIO,AMV0.F,36.4,EUR
2026-08-31,BTL,603596.SS,28.07,CNY
2026-08-31,Baolong,603197.SS,29.75,CNY
2026-08-31,HASCO,600741.SS,15.45,CNY
2026-08-31,Luxshare,002475.SZ,57.62,CNY
2026-08-31,Tuopu,601689.SS,46.83,CNY
2026-09-01,AUMOVIO,AMV0.F,35.8,EUR
2026-09-01,BTL,603596.SS,29.84,CNY
2026-09-01,Baolong,603197.SS,30.54,CNY
2026-09-01,HASCO,600741.SS,15.72,CNY
2026-09-01,Luxshare,002475.SZ,56.92,CNY
2026-09-01,Tuopu,601689.SS,46.48,CNY
2026-09-02,AUMOVIO,AMV0.F,34.6,EUR
2026-09-02,BTL,603596.SS,30.09,CNY
2026-09-02,Baolong,603197.SS,30.39,CNY
2026-09-02,HASCO,600741.SS,15.53,CNY
2026-09-02,Luxshare,002475.SZ,57.08,CNY
2026-09-02,Tuopu,601689.SS,46.52,CNY
2026-09-03,BTL,603596.SS,30.45,CNY
2026-09-03,Baolong,603197.SS,30.42,CNY
2026-09-03,HASCO,600741.SS,15.55,CNY
2026-09-03,Luxshare,002475.SZ,56.17,CNY
2026-09-03,Tuopu,601689.SS,47.83,CNY
